sourceKeyword,PRDLST_NM,PRDLST_DCNM,POG_DAYCNT,QLITY_MNTNC_TMLMT_DAYCNT,BSSH_NM,PRDLST_REPORT_NO,PRMS_DT,LAST_UPDT_DTM
우유,MGC우유빙수맛파우더,당류가공품,제조일부터 12개월 (실온보관),,(주)동원홈푸드,2002046107315698,20250313,20260316
우유,Mini모찌생크림빵 우유,빵류,제조일로부터 10일까지 (냉장),,(주)샤니,197102750035640,20250401,20250403
우유,Mix Candy(딸기우유향),캔디류,제조일로부터 2년,,슈가레인(Sugarrain),20170372194105,20200419,20230627
우유,No.1 우유식빵,빵류,제조일로부터 실온(1~35℃) 7일까지,,(주)파리크라상,20060181266643,20170228,20260505
우유,No.1 우유식빵,빵류,7일,,(주)파리크라상 신공장,2019028003519,20190307,20260507
우유,N폭신폭신우유브레드용냉동반죽,빵류,12개월,,씨제이푸드빌주식회사,199704451444225,20240812,20260429
우유,PC우유식빵용 휴면반죽,빵류,90 일,,에스피엘주식회사,200403064181885,20160224,20230725
우유,REAL price 우유식빵,빵류,제조일로부터 13일까지,,롯데웰푸드(주),19870364014490,20201022,20260201
우유,REAL price 우유식빵,빵류,제조일로부터13일,,롯데웰푸드(주),20070156181866,20190322,20251202
우유,SD 우유야채닭진밥,영.유아용 이유식,제조일로부터 1개월까지,,(주)에코맘의 산골이유식,20200614037571,20220408,20220414
우유,SH우유도우,빵류,제조일로부터 6개월,,주식회사 굿메이트식품,2016036892986,20260605,20260611
우유,The 부드러운 우유식빵,빵류,제조일로부터 7일,해당없음.,밀도베이커스,2022042329425,20250618,20250620
우유,VEZZLY 우유생크림빵,빵류,제조일로부터 9개월까지,,(주)푸드코아,200402750571375,20240723,20240912
우유,X-mas)우유가득 생크림 케이크 1호,빵류,제조일로부터 냉동(-18℃이하) 9개월까지,,(주)파리크라상,198802750017097,20251028,20251030
우유,X-mas)우유가득 생크림 케이크 2호,빵류,제조일로부터 냉동(-18℃이하) 9개월까지,,(주)파리크라상,198802750017098,20251028,20251030
우유,X-mas)우유퐁당 생크림 케이크 1호,빵류,제조일로부터 냉동(-18℃이하) 9개월까지,,(주)파리크라상,198802750017099,20251014,20251018
우유,X-mas)우유퐁당 생크림 케이크 2호,빵류,제조일로부터 냉동(-18℃) 9개월까지,,(주)파리크라상,198802750017100,20251021,20251024
우유,YUMILKA MILK YAKGWA (우유 약과),과자,제조일로부터 6개월 까지,,이당푸드,2023050335311,20240525,20250524
우유,[노티드] 미니 시그니처 우유 생크림빵,빵류,12개월,,(주)온세까세로2공장,2024059424741,20240811,20240831
우유,[노티드] 저당 시그니처 우유생크림빵,빵류,12개월,,(주)온세까세로2공장,2024059424739,20240729,20240916
우유,[투썸]우유생크림(오벌),빵류,냉동(-18℃이하) 보관시 제조일로부터 180일,생략,어썸 디저트 플랜트,20010490196589,20251229,20251231
우유,[투썸]우유생크림(오벌),빵류,제조일로부터 180일까지,,어썸 페어링 플랜트,2018045209945,20241219,20260119
우유,ㅇㅊㅁㅅ 목장 우유웨하스,과자,제조일로부터 12개월,,(주)삼아인터내셔날,19910461077494,20230120,20240606
우유,ㅇㅊㅁㅅ 목장우유 랑그드샤,과자,12개월,,주식회사 진협제과,19860368013108,20241022,20241025
우유,ㅇㅊㅁㅅ목장 우유샌드,과자,제조일로부터 12개월,,바스락 주식회사 기흥공장,202405301484,20240819,20260428
우유,ㅇㅊㅁㅅ목장 우유샌드,과자,제조일로부터 12개월(실온),,바스락(주),20140347046229,20230221,20251104
우유,ㅇㅊㅁㅅ목장 우유잼 쫀득찰떡,떡류,제조일로부터 3개월,,금상푸드,20100372377119,20221129,20260201
