sourceKeyword,sourceKeywords,PRDLST_NM,PRDLST_DCNM,POG_DAYCNT,QLITY_MNTNC_TMLMT_DAYCNT,BSSH_NM,PRDLST_REPORT_NO,PRMS_DT,LAST_UPDT_DTM
계란,,방대한정 계란찜분말,복합조미식품,제조일로부터 12개월까지,,(주)에프앤에스식품,20210352178305,20211015,20211021
계란,,방탄컵도시락 닭가슴살 김치볶음밥 & 계란후라이,즉석조리식품,냉동 12개월,,(주)이에스그린푸드,20170443338411,20211222,20220713
계란,,배불러곤약 간장계란볶음밥,즉석조리식품,제조일로부터 12개월,,주식회사 엄지식품,201504932081001,20221021,20240117
계란,,백리향계란야채볶음밥,즉석조리식품,냉동. 12개월,,주식회사 시아스쿡,20180452033270,20231024,20231027
계란,,백리향정통계란볶음밥,즉석조리식품,"냉동, 12개월",,(주)시아스,200504150204250,20210803,20220519
계란,,백리향정통계란볶음밥(알밥),즉석조리식품,"냉동, 12개월",,(주)시아스,200504150204248,20210803,20210805
계란,,백설계란옷믹스,기타가공품,"제조일로부터 365일(12개월, 1년)",,씨제이제일제당(주),19960080359937,20230614,20230617
계란,,백설계란옷프리더스트,곡류가공품,"제조일로부터 365일(12개월, 1년)",,씨제이제일제당(주),19960080359938,20230614,20230617
계란,,백수세끼 버터간장계란밥,즉석조리식품,제조일로부터 12개월,,주식회사 엄지식품,20150493208873,20211118,20240117
계란,,밸런스 한끼 저당김밥 계란묵은지참치맛,즉석조리식품,냉동 12개월,,(주)이에스그린푸드,20170443338729,20250123,20250327
계란,,밸런스 한끼 저당김밥 계란야채맛,즉석조리식품,냉동 12개월,,(주)이에스그린푸드,20170443338727,20250117,20250327
계란,,밸런스 한끼 저당김밥 계란치즈맛,즉석조리식품,냉동 12개월,,(주)이에스그린푸드,20170443338728,20250123,20250327
계란,,버터간장 꼬마김밥 계란,즉석조리식품,제조일로부터 냉동12개월 까지,,복을만드는사람들 주식회사 농업회사법인,20200614067202,20260223,20260306
계란,,버터장조림과 계란,조림류,제조일로부터 1년까지,,잇츠올레 주식회사,2019038910597,20220203,20240203
계란,,베이스 중화계란볶음밥,즉석조리식품,제조일로부터 12개월까지,,천일식품(주),199301993491463,20250501,20250502
계란,,베이컨 계란말이,즉석조리식품,제조일로부터 5일,,하반 반찬,2025024896367,20260106,20260109
계란,,베이컨 계란빵,빵류,제조일로부터12개월(냉동보관),,(주)한국푸드본 정관공장,20190156205242,20250109,20250111
계란,,베이컨 체다치즈 계란빵,빵류,제조일로부터 냉동보관(-18도이하) 12개월,,주식회사 마크로드제과,20060368135644,20240222,20240702
계란,,베이컨간장계란밥,즉석조리식품,제조일로부터 5일,,(주)도마소리,20220241566245,20250109,20250429
계란,,베이컨계란말이,즉석조리식품,제조일로부터 4일,,(주)수미찬,2021004283278,20220322,20220325
계란,,베이컨계란볶음밥,즉석조리식품,제조일로부터 5일,제조일로부터 5일,(주)하니푸드,20210268770324,20230612,20240402
계란,,베이컨계란볶음밥,즉석조리식품,제조일로부터 5일,,주식회사찬장에프에스대전,20220321100736,20240120,20240125
계란,,베이컨계란볶음밥김밥,즉석섭취식품,제조시간으로부터 37시간,,롯데평택CK 주식회사,199503062741863,20230711,20230713
계란,,베이컨계란브리오쉬번,즉석섭취식품,제조일로부터 72시간,,(주)현대그린푸드 스마트푸드센터,201902803272980,20230607,20230613
계란,,베이컨앤더블치즈 계란빵,빵류,제조일부터9개월까지,,(주)도깨비제과,2024028385043,20251126,20251218
계란,,베이컨할라피뇨계란빵,빵류,제조일로부터 냉동보관 6개월,,포레스트디저트,2023063488333,20231205,20231211
계란,,병천아우내계란순대,즉석조리식품,제조일로부터 12개월까지,-,(주)병천아우내식품,20010449040170,20250409,20250416
계란,,보들보들 채소계란찜,기타가공품,제조일로부터 7일,,오성푸드 주식회사,20120199329272,20260507,20260520
계란,,보물계란빵 베이컨앤더블치즈,빵류,제조일부터15일까지(냉장),,(주)도깨비제과,2024028385040,20251126,20251218
계란,,보물계란빵 오리지널 플레인,빵류,제조일부터15일까지(냉장),,(주)도깨비제과,2024028385045,20251208,20251210
계란,,보물계란빵 올리브앤더블치즈,빵류,제조일부터15일까지(냉장),,(주)도깨비제과,2024028385041,20251126,20251128
