sourceKeyword,sourceKeywords,PRDLST_NM,PRDLST_DCNM,POG_DAYCNT,QLITY_MNTNC_TMLMT_DAYCNT,BSSH_NM,PRDLST_REPORT_NO,PRMS_DT,LAST_UPDT_DTM
오리,오리,!페스츄리 호두과자-오리지널,과자,12개월,,(주)더베이커리랩 제2공장,20130355300939,20230828,20230831
스테이크소스,스테이크소스,?스테이크소스,소스,6개월,,(주)시아스,200504150201401,20120516,20181130
귤,귤,'깔' 좋은 여성 귤피차,침출차,제조일부터 2년 까지,,금향다원,2008062105113,20150326,20160706
초장,초장,'더' 맛있는 양념초장,소스,제조일로부터 12개월까지,,(주)호반식품,201604150511516,20250811,20250812
식초,식초,'쓴맛'없는여주천연발효식초,발효식초,24개월,24개월,시내들,201906171748,20240712,20240713
수박,수박,'얼린' 생 수박주스,과.채주스,제조일로부터 3년 이내,,건강한사람들 주식회사,201904773393175,20230127,20230927
수박,수박,'얼린' 생 수박주스,과.채주스,24개월,,(주)우양 청송공장,2013056400127,20170111,20210105
수박,수박,'얼린' 생 수박주스,과.채주스,제조일로부터 24개월,,(주)흥국에프엔비,20110445292373,20170613,20170701
수박,수박,'얼린' 생 수박주스,과.채주스,제조일로부터 3년까지,,넥스트바이오 주식회사,20170395062272,20241217,20250627
당근,당근,'얼린' 에이비씨주스 사과&비트&당근,과.채주스,제조일로부터 3년까지,,(주)우양 청송공장,2013056400169,20200424,20230317
당근,당근,'얼린' 에이비씨주스 사과&비트&당근,과.채주스,제조일로부터 3년까지,,넥스트바이오 주식회사,20170395062179,20250320,20250322
주스,주스,'얼린' 패션프루츠주스,과.채주스,제조일로부터 3년까지,,(주)우양 청송공장,2013056400179,20210104,20230317
귤,귤,'얼린' 폰칸 감귤주스,과.채주스,제조일로부터 3년까지,,넥스트바이오 주식회사,20170395062298,20250612,20250627
주스,주스,'얼린' 폰칸주스,과.채주스,제조일로부터 3년까지,,(주)우양 청송공장,2013056400172,20200615,20230317
죽,죽,'정깊은' 오디죽염 청국장,청국장,,해당없음,삼보식품 주식회사,2007050101425,20150527,20240117
딸기,딸기,"""딸기콩포트""",잼,제조일부터 3개월,,(주)프레시코,19910464049539,20250707,20251204
낙지,낙지,"""맛돌""낙지 복음 양념장",복합조미식품,제조일로부터 90일,,청호식품,199304730954,19940526,20160707
차,차,"""오늘맑음""부드러운 결명자차",침출차,제조일로부터 24개월,제조일로부터 24개월,부엉이네 오솔길,2020047733044,20240920,20240924
새우,새우,"""외갓집 곳간"" 갓 잡아올린 국내산 싱싱 새우젓",젓갈,12개월,,(주)산마루식품,201705430166,20260520,20260606
바나나,바나나,"""찐""바나나칩",과.채가공품,제조일로부터 12개월,,다산명작협동조합,2018052600219,20200806,20200808
